,Entity,Code,Year,total_waste,ocean_waste,ocean_waste_%
1,Albania,ALB,2019,69833,1565,2.0
2,Algeria,DZA,2019,764578,5774,1.0
3,Angola,AGO,2019,236946,860,0.0
4,Antigua and Barbuda,ATG,2019,627,2,0.0
5,Argentina,ARG,2019,465808,4137,1.0
7,Australia,AUS,2019,5266,32,1.0
8,Bahamas,BHS,2019,2212,20,1.0
9,Bahrain,BHR,2019,1043,0,0.0
10,Bangladesh,BGD,2019,1021990,24640,2.0
11,Barbados,BRB,2019,872,45,5.0
12,Belgium,BEL,2019,2284,34,1.0
13,Belize,BLZ,2019,6021,374,6.0
14,Benin,BEN,2019,133335,1639,1.0
15,Bosnia and Herzegovina,BIH,2019,55551,6,0.0
16,Brazil,BRA,2019,3296700,37799,1.0
17,Brunei,BRN,2019,692,134,19.0
18,Bulgaria,BGR,2019,3117,7,0.0
19,Burkina Faso,BFA,2019,317298,0,0.0
20,Cambodia,KHM,2019,247495,1113,0.0
21,Cameroon,CMR,2019,578798,10671,2.0
22,Canada,CAN,2019,23587,238,1.0
23,Cape Verde,CPV,2019,3568,0,0.0
24,Chile,CHL,2019,30767,322,1.0
25,China,CHN,2019,12272200,70707,1.0
26,Colombia,COL,2019,85454,431,1.0
27,Comoros,COM,2019,59158,0,0.0
28,Congo,COG,2019,65291,676,1.0
29,Costa Rica,CRI,2019,5751,450,8.0
30,Cote d'Ivoire,CIV,2019,291614,4784,2.0
31,Croatia,HRV,2019,17544,224,1.0
32,Cyprus,CYP,2019,837,3,0.0
33,Democratic Republic of Congo,COD,2019,1369730,420,0.0
34,Denmark,DNK,2019,390,9,2.0
35,Djibouti,DJI,2019,10289,4,0.0
36,Dominica,DMA,2019,1082,53,5.0
37,Dominican Republic,DOM,2019,194018,6276,3.0
39,Ecuador,ECU,2019,108797,1136,1.0
40,Egypt,EGY,2019,1435510,2471,0.0
41,El Salvador,SLV,2019,21693,808,4.0
42,Equatorial Guinea,GNQ,2019,9403,405,4.0
43,Eritrea,ERI,2019,84088,48,0.0
44,Estonia,EST,2019,600,12,2.0
46,Fiji,FJI,2019,3858,365,9.0
47,Finland,FIN,2019,2621,0,0.0
48,France,FRA,2019,27780,235,1.0
49,French Guiana,GUF,2019,126,7,6.0
50,Gabon,GAB,2019,5991,445,7.0
51,Gambia,GMB,2019,35095,421,1.0
52,Georgia,GEO,2019,307,3,1.0
53,Germany,DEU,2019,50676,134,0.0
54,Ghana,GHA,2019,520002,4185,1.0
55,Greece,GRC,2019,4506,216,5.0
56,Grenada,GRD,2019,1357,130,10.0
57,Guadeloupe,GLP,2019,162,4,2.0
58,Guatemala,GTM,2019,311003,7142,2.0
59,Guinea,GIN,2019,147997,2347,2.0
60,Guinea-Bissau,GNB,2019,20465,247,1.0
61,Guyana,GUY,2019,27565,1246,5.0
62,Haiti,HTI,2019,237968,6929,3.0
63,Honduras,HND,2019,145995,2436,2.0
64,Hong Kong,HKG,2019,5781,112,2.0
65,Iceland,ISL,2019,151,0,0.0
66,India,IND,2019,12994100,126513,1.0
67,Indonesia,IDN,2019,824234,56333,7.0
68,Iran,IRN,2019,495965,928,0.0
69,Iraq,IRQ,2019,491771,67,0.0
70,Ireland,IRL,2019,2675,115,4.0
71,Israel,ISR,2019,6060,33,1.0
